days,hour,season,holiday,weather,temp,atemp,humidity,windspeed,real
68,10,1,0,3,16.4,20.455,0,11.0014,50
68,9,1,0,3,16.4,20.455,0,15.0013,55
45,1,1,0,1,12.3,12.12,42,51.9987,17
68,11,1,0,3,16.4,20.455,0,16.9979,46
346,1,4,0,1,8.2,12.88,80,0,19
311,1,4,0,1,13.12,16.665,93,7.0015,26
352,1,4,0,1,7.38,10.605,80,6.0032,25
352,2,4,0,1,7.38,10.605,80,6.0032,15
346,0,4,0,1,9.02,13.635,80,0,34
290,2,4,0,1,18.04,21.97,94,6.0032,19
65,3,1,0,1,8.2,7.575,80,39.0007,9
68,15,1,0,3,18.04,21.97,0,15.0013,73
68,13,1,0,3,17.22,21.21,0,15.0013,71
138,1,2,0,1,20.5,24.24,94,0,25
338,0,4,0,1,13.12,16.665,87,6.0032,42
352,3,4,0,1,6.56,9.85,86,6.0032,13
45,2,1,0,1,11.48,11.365,41,46.0022,13
352,0,4,0,1,8.2,11.365,75,6.0032,32
312,0,4,0,1,14.76,18.94,87,0,32
340,0,4,0,1,18.04,21.97,100,12.998,51
68,14,1,0,3,18.04,21.97,0,19.9995,71
343,1,4,0,2,14.76,18.94,100,0,21
310,2,4,0,1,13.12,17.425,93,0,17
310,1,4,0,1,13.94,18.18,87,0,25
340,2,4,0,3,18.86,22.725,100,15.0013,21
68,16,1,0,3,17.22,21.21,0,16.9979,80
310,0,4,0,1,13.94,18.18,87,0,34
338,1,4,0,1,13.12,17.425,87,0,28
312,1,4,0,1,13.94,18.18,87,0,26
285,2,4,0,2,22.14,25.76,94,0,19
68,12,1,0,3,17.22,21.21,0,15.0013,63
311,0,4,0,1,13.94,17.425,87,6.0032,36
346,2,4,0,1,8.2,12.88,80,0,15
312,2,4,0,1,13.12,17.425,93,0,19
305,1,4,0,1,12.3,16.665,87,0,26
285,1,4,0,2,22.14,25.76,94,0,30
135,2,2,0,1,20.5,24.24,100,6.0032,28
279,2,4,0,1,17.22,21.21,88,0,19
59,0,1,0,1,12.3,13.635,70,31.0009,23
138,3,2,0,1,19.68,23.485,100,0,17
128,2,2,0,1,18.04,21.97,94,0,23
284,3,4,0,3,22.14,25.76,94,19.9995,15
305,0,4,0,1,13.12,17.425,87,0,36
337,2,4,0,1,17.22,21.21,88,6.0032,23
347,1,4,0,1,10.66,15.15,75,0,23
286,2,4,0,1,22.96,26.515,94,11.0014,21
44,11,1,0,1,21.32,25,23,16.9979,86
290,3,4,0,1,18.04,21.97,94,6.0032,13
187,3,3,0,1,26.24,28.03,94,7.0015,17
345,1,4,0,1,8.2,12.88,69,0,23
340,3,4,0,3,18.86,22.725,100,15.0013,15
352,4,4,0,1,6.56,9.09,86,8.9981,11
49,9,1,0,1,16.4,20.455,16,43.9989,82
311,2,4,0,1,13.12,17.425,87,0,15
254,0,3,0,1,22.96,26.515,88,6.0032,36
158,3,2,0,1,26.24,28.79,89,6.0032,17
283,1,4,0,2,21.32,25,94,6.0032,28
280,4,4,1,1,13.12,16.665,87,8.9981,25
283,2,4,0,2,21.32,25,94,8.9981,21
67,3,1,0,1,18.86,22.725,77,35.0008,17
314,1,4,1,1,13.12,15.15,57,22.0028,42
319,1,4,0,3,18.86,22.725,94,6.0032,23
260,2,3,0,3,24.6,25.76,94,12.998,19
158,2,2,0,1,26.24,28.79,89,6.0032,23
285,0,4,0,2,22.14,25.76,94,8.9981,34
37,3,1,0,1,8.2,12.88,86,0,11
315,3,4,1,1,16.4,20.455,76,8.9981,25
305,2,4,0,1,12.3,16.665,87,0,15
260,1,3,0,3,24.6,25.76,94,12.998,23
314,2,4,1,1,13.12,14.395,57,19.0012,32
347,0,4,0,1,10.66,15.15,75,0,38
336,1,4,0,1,16.4,20.455,82,8.9981,28
313,0,4,0,1,16.4,20.455,87,0,42
167,3,2,0,1,22.96,26.515,94,7.0015,19
286,0,4,0,1,23.78,27.275,94,6.0032,59
191,1,3,0,1,26.24,28.79,89,0,32
191,2,3,0,1,26.24,28.79,89,0,21
338,2,4,0,1,13.12,17.425,87,0,21
314,3,4,1,1,12.3,14.395,61,12.998,25
280,2,4,1,1,13.94,16.665,81,12.998,36
286,1,4,0,1,23.78,27.275,94,8.9981,42
138,2,2,0,1,20.5,24.24,94,0,30
347,2,4,0,1,10.66,15.15,75,0,15
65,4,1,0,1,8.2,7.575,80,35.0008,7
335,1,4,0,1,9.84,14.395,75,0,30
285,3,4,0,2,22.14,25.76,100,12.998,19
65,1,1,0,3,8.2,9.09,100,22.0028,17
254,1,3,0,1,22.96,26.515,88,0,30
275,0,4,0,1,13.94,17.425,87,7.0015,34
250,0,3,0,3,24.6,25,100,12.998,34
345,0,4,0,1,8.2,11.365,69,6.0032,36
254,2,3,0,1,22.96,26.515,88,0,17
275,2,4,0,2,25.42,27.275,94,0,25
186,2,3,0,1,28.7,33.335,79,6.0032,21
65,0,1,0,3,8.2,9.09,100,22.0028,21
351,0,4,0,2,18.04,21.97,94,8.9981,36
316,1,4,0,3,18.04,21.97,88,43.0006,21
219,2,3,0,1,27.06,29.545,89,0,23
346,3,4,0,1,7.38,12.12,80,0,13
217,1,3,0,1,29.52,34.85,79,6.0032,30
121,1,2,0,1,22.96,26.515,83,0,32
351,1,4,0,2,18.04,21.97,94,8.9981,32
345,2,4,0,1,8.2,12.88,69,0,17
250,1,3,0,3,25.42,27.275,94,7.0015,23
310,3,4,0,1,13.12,17.425,93,0,15
219,2,3,0,1,28.7,33.335,84,0,23
167,2,2,0,1,22.96,26.515,94,7.0015,28
314,4,4,1,1,12.3,14.395,61,12.998,25
284,1,4,0,3,22.96,26.515,83,8.9981,26
312,3,4,0,1,13.12,17.425,93,0,15
275,1,4,0,2,25.42,27.275,94,0,36
275,1,4,0,1,14.76,18.18,81,6.0032,23
17,4,1,0,1,13.94,14.395,46,35.0008,7
10,3,1,0,1,9.02,13.635,80,0,15
276,2,4,0,1,26.24,28.79,89,0,28
313,3,4,0,1,15.58,19.695,94,6.0032,23
218,5,3,0,1,28.7,33.335,89,12.998,15
248,2,3,0,3,22.14,25.76,94,16.9979,17
352,2,4,0,1,11.48,15.15,65,6.0032,15
343,0,4,0,3,14.76,18.18,100,6.0032,38
351,3,4,0,1,17.22,21.21,88,12.998,17
315,4,4,1,1,16.4,20.455,76,6.0032,23
219,3,3,0,1,27.06,29.545,89,0,15
279,1,4,0,1,18.04,21.97,88,0,44
156,3,2,0,1,23.78,27.275,88,0,19
191,3,3,0,1,26.24,28.79,89,8.9981,19
304,1,4,0,1,14.76,17.425,81,8.9981,26
37,2,1,0,1,8.2,12.88,80,0,15
156,4,2,0,1,22.96,26.515,94,7.0015,19
248,3,3,0,3,22.14,25.76,94,19.9995,13
275,3,4,0,2,24.6,25.76,94,0,21
220,2,3,0,1,28.7,33.335,84,6.0032,30
123,3,2,0,3,17.22,21.21,88,35.0008,11
335,3,4,0,1,9.02,13.635,80,0,11
42,4,1,0,2,4.1,2.275,46,47.9988,3
306,1,4,0,1,13.94,16.665,81,8.9981,30
338,3,4,0,1,13.12,17.425,87,0,13
251,0,3,0,3,26.24,28.03,94,12.998,36
337,1,4,0,1,17.22,21.21,82,7.0015,40
