days,hour,season,holiday,weather,temp,atemp,humidity,windspeed,real,pred,diff
68,10,1,0,3,16.4,20.455,0,11.0014,50,199.58961,149.58961
68,9,1,0,3,16.4,20.455,0,15.0013,55,188.56232,133.56232
45,1,1,0,1,12.3,12.12,42,51.9987,17,-10.677078,-27.677078
68,11,1,0,3,16.4,20.455,0,16.9979,46,201.65019,155.65019
346,1,4,0,1,8.2,12.88,80,0,19,6.4107137,-12.5892863
311,1,4,0,1,13.12,16.665,93,7.0015,26,43.470726,17.470726
352,1,4,0,1,7.38,10.605,80,6.0032,25,-7.589477,-32.589477
352,2,4,0,1,7.38,10.605,80,6.0032,15,-13.362701,-28.362701
346,0,4,0,1,9.02,13.635,80,0,34,19.170616,-14.829384
290,2,4,0,1,18.04,21.97,94,6.0032,19,52.67582,33.67582
65,3,1,0,1,8.2,7.575,80,39.0007,9,-28.510567,-37.510567
68,15,1,0,3,18.04,21.97,0,15.0013,73,344.56042,271.56042
68,13,1,0,3,17.22,21.21,0,15.0013,71,241.02579,170.02579
138,1,2,0,1,20.5,24.24,94,0,25,77.240974,52.240974
338,0,4,0,1,13.12,16.665,87,6.0032,42,46.83454,4.83454
352,3,4,0,1,6.56,9.85,86,6.0032,13,-32.00889,-45.00889
45,2,1,0,1,11.48,11.365,41,46.0022,13,-11.794571,-24.794571
352,0,4,0,1,8.2,11.365,75,6.0032,32,10.090225,-21.909775
312,0,4,0,1,14.76,18.94,87,0,32,64.55715,32.55715
340,0,4,0,1,18.04,21.97,100,12.998,51,47.14969,-3.85031
68,14,1,0,3,18.04,21.97,0,19.9995,71,287.29303,216.29303
343,1,4,0,2,14.76,18.94,100,0,21,12.80188,-8.19812
310,2,4,0,1,13.12,17.425,93,0,17,41.070137,24.070137
310,1,4,0,1,13.94,18.18,87,0,25,59.71637,34.71637
340,2,4,0,3,18.86,22.725,100,15.0013,21,30.115402,9.115402
68,16,1,0,3,17.22,21.21,0,16.9979,80,347.32895,267.32895
310,0,4,0,1,13.94,18.18,87,0,34,63.75013,29.75013
338,1,4,0,1,13.12,17.425,87,0,28,44.000008,16.000008
312,1,4,0,1,13.94,18.18,87,0,26,59.09272,33.09272
285,2,4,0,2,22.14,25.76,94,0,19,27.89579,8.89579
68,12,1,0,3,17.22,21.21,0,15.0013,63,213.27951,150.27951
311,0,4,0,1,13.94,17.425,87,6.0032,36,62.253517,26.253517
346,2,4,0,1,8.2,12.88,80,0,15,0.6373143,-14.3626857
312,2,4,0,1,13.12,17.425,93,0,19,40.446663,21.446663
305,1,4,0,1,12.3,16.665,87,0,26,47.28781,21.28781
285,1,4,0,2,22.14,25.76,94,0,30,25.641342,-4.358658
135,2,2,0,1,20.5,24.24,100,6.0032,28,75.94696,47.94696
279,2,4,0,1,17.22,21.21,88,0,19,58.743004,39.743004
59,0,1,0,1,12.3,13.635,70,31.0009,23,16.31997,-6.68003
138,3,2,0,1,19.68,23.485,100,0,17,78.23041,61.23041
128,2,2,0,1,18.04,21.97,94,0,23,71.966156,48.966156
284,3,4,0,3,22.14,25.76,94,19.9995,15,36.852654,21.852654
305,0,4,0,1,13.12,17.425,87,0,36,60.06221,24.06221
337,2,4,0,1,17.22,21.21,88,6.0032,23,57.333946,34.333946
347,1,4,0,1,10.66,15.15,75,0,23,31.978104,8.978104
286,2,4,0,1,22.96,26.515,94,11.0014,21,36.210693,15.210693
44,11,1,0,1,21.32,25,23,16.9979,86,233.73169,147.73169
290,3,4,0,1,18.04,21.97,94,6.0032,13,55.230194,42.230194
187,3,3,0,1,26.24,28.03,94,7.0015,17,37.39286,20.39286
345,1,4,0,1,8.2,12.88,69,0,23,17.51397,-5.48603
340,3,4,0,3,18.86,22.725,100,15.0013,15,27.367699,12.367699
352,4,4,0,1,6.56,9.09,86,8.9981,11,-40.353004,-51.353004
49,9,1,0,1,16.4,20.455,16,43.9989,82,194.41997,112.41997
311,2,4,0,1,13.12,17.425,87,0,15,46.644753,31.644753
254,0,3,0,1,22.96,26.515,88,6.0032,36,37.5308,1.5308
158,3,2,0,1,26.24,28.79,89,6.0032,17,73.98174,56.98174
283,1,4,0,2,21.32,25,94,6.0032,28,25.415253,-2.584747
280,4,4,1,1,13.12,16.665,87,8.9981,25,38.28206,13.28206
283,2,4,0,2,21.32,25,94,8.9981,21,26.535172,5.535172
67,3,1,0,1,18.86,22.725,77,35.0008,17,16.286896,-0.713104
314,1,4,1,1,13.12,15.15,57,22.0028,42,54.131523,12.131523
319,1,4,0,3,18.86,22.725,94,6.0032,23,34.543938,11.543938
260,2,3,0,3,24.6,25.76,94,12.998,19,38.761116,19.761116
158,2,2,0,1,26.24,28.79,89,6.0032,23,73.588776,50.588776
285,0,4,0,2,22.14,25.76,94,8.9981,34,23.811607,-10.188393
37,3,1,0,1,8.2,12.88,86,0,11,17.073128,6.073128
315,3,4,1,1,16.4,20.455,76,8.9981,25,45.450226,20.450226
305,2,4,0,1,12.3,16.665,87,0,15,41.514374,26.514374
260,1,3,0,3,24.6,25.76,94,12.998,23,37.755806,14.755806
314,2,4,1,1,13.12,14.395,57,19.0012,32,56.28232,24.28232
347,0,4,0,1,10.66,15.15,75,0,38,37.751453,-0.248547
336,1,4,0,1,16.4,20.455,82,8.9981,28,68.561104,40.561104
313,0,4,0,1,16.4,20.455,87,0,42,59.59893,17.59893
167,3,2,0,1,22.96,26.515,94,7.0015,19,71.40999,52.40999
286,0,4,0,1,23.78,27.275,94,6.0032,59,27.822365,-31.177635
191,1,3,0,1,26.24,28.79,89,0,32,38.827347,6.827347
191,2,3,0,1,26.24,28.79,89,0,21,39.207817,18.207817
338,2,4,0,1,13.12,17.425,87,0,21,38.226665,17.226665
314,3,4,1,1,12.3,14.395,61,12.998,25,57.42978,32.42978
280,2,4,1,1,13.94,16.665,81,12.998,36,35.382812,-0.617188
286,1,4,0,1,23.78,27.275,94,8.9981,42,30.673843,-11.326157
138,2,2,0,1,20.5,24.24,94,0,30,77.39242,47.39242
347,2,4,0,1,10.66,15.15,75,0,15,26.204712,11.204712
65,4,1,0,1,8.2,7.575,80,35.0008,7,-23.892899,-30.892899
335,1,4,0,1,9.84,14.395,75,0,30,28.732964,-1.267036
285,3,4,0,2,22.14,25.76,100,12.998,19,23.004524,4.004524
65,1,1,0,3,8.2,9.09,100,22.0028,17,-16.847275,-33.847275
254,1,3,0,1,22.96,26.515,88,0,30,39.48976,9.48976
275,0,4,0,1,13.94,17.425,87,7.0015,34,57.549805,23.549805
250,0,3,0,3,24.6,25,100,12.998,34,33.299698,-0.700302
345,0,4,0,1,8.2,11.365,69,6.0032,36,18.159012,-17.840988
254,2,3,0,1,22.96,26.515,88,0,17,42.044144,25.044144
275,2,4,0,2,25.42,27.275,94,0,25,29.19709,4.19709
186,2,3,0,1,28.7,33.335,79,6.0032,21,40.65116,19.65116
65,0,1,0,3,8.2,9.09,100,22.0028,21,-10.127975,-31.127975
351,0,4,0,2,18.04,21.97,94,8.9981,36,26.826256,-9.173744
316,1,4,0,3,18.04,21.97,88,43.0006,21,38.488846,17.488846
219,2,3,0,1,27.06,29.545,89,0,23,35.23726,12.23726
346,3,4,0,1,7.38,12.12,80,0,13,-12.137093,-25.137093
