days,hour,season,holiday,weather,temp,atemp,humidity,windspeed,real,pred,diff
0,0,1,0,1,9.84,14.395,81,0,32,33.766922,1.766922
0,0,1,0,1,14.76,18.94,66,0,65,52.905334,-12.094666
0,1,1,0,1,9.02,13.635,80,0,53,24.704437,-28.295563
0,1,1,0,1,14.76,17.425,66,8.9981,105,34.049362,-70.950638
0,2,1,0,1,9.02,13.635,80,0,44,18.2771,-25.7229
0,2,1,0,1,13.12,17.425,76,0,86,32.87706,-53.12294
0,3,1,0,1,9.84,14.395,75,0,23,15.437462,-7.562538
0,3,1,0,1,12.3,16.665,81,0,61,22.861694,-38.138306
0,4,1,0,1,11.48,15.15,81,6.0032,15,5.459481,-9.540519
0,4,1,0,1,9.84,14.395,75,0,9,9.010048,0.010048
0,5,1,0,1,11.48,14.395,81,7.0015,11,0.5718465,-10.4281535
0,6,1,0,1,10.66,13.635,93,8.9981,28,82.19604,54.19604
0,6,1,0,1,9.02,13.635,80,0,28,84.17529,56.17529
0,11,1,0,1,14.76,16.665,81,19.0012,88,182.03358,94.03358
0,11,1,0,1,13.94,16.665,76,8.9981,167,196.00941,29.00941
0,12,1,0,1,16.4,20.455,62,19.0012,223,181.73546,-41.26454
0,12,1,0,1,17.22,21.21,77,19.0012,111,187.15509,76.15509
0,13,1,0,2,18.86,22.725,72,19.9995,150,177.4294,27.4294
0,13,1,0,1,17.22,21.21,58,19.0012,273,198.3091,-74.6909
0,14,1,0,2,18.86,22.725,72,19.0012,161,193.01996,32.01996
0,14,1,0,1,18.04,21.97,54,19.9995,315,224.31017,-90.68983
0,15,1,0,2,18.04,21.97,77,19.9995,165,193.62895,28.62895
0,15,1,0,1,18.86,22.725,51,19.9995,313,254.8636,-58.1364
0,16,1,0,2,17.22,21.21,82,19.9995,148,201.01973,53.01973
0,16,1,0,2,18.04,21.97,54,19.9995,265,232.76813,-32.23187
0,18,1,0,3,18.86,22.725,59,16.9979,159,252.71774,93.71774
0,19,1,0,3,17.22,21.21,67,26.0027,159,235.51729,76.51729
0,20,1,0,2,16.4,20.455,87,16.9979,94,176.5566,82.5566
0,20,1,0,2,18.04,21.97,62,19.9995,138,225.61171,87.61171
0,21,1,0,2,16.4,20.455,87,12.998,92,152.10164,60.10164
0,21,1,0,2,18.04,21.97,67,16.9979,126,183.41698,57.41698
0,22,1,0,2,16.4,20.455,94,15.0013,86,133.0901,47.0901
0,22,1,0,1,18.86,22.725,55,27.9993,121,180.76524,59.76524
0,23,1,0,2,18.86,22.725,88,19.9995,98,130.404,32.404
0,23,1,0,1,18.04,21.97,51,19.9995,86,146.42955,60.42955
1,0,1,0,2,18.86,22.725,88,19.9995,36,31.722649,-4.277351
1,0,1,1,1,16.4,20.455,40,31.0009,63,74.047806,11.047806
1,1,1,0,2,18.04,21.97,94,16.9979,32,24.896217,-7.103783
1,1,1,1,1,14.76,16.665,43,27.9993,34,67.488365,33.488365
1,2,1,0,2,17.22,21.21,100,19.0012,23,11.461342,-11.538658
1,2,1,1,1,14.76,15.91,34,30.0026,28,64.43528,36.43528
1,3,1,0,2,18.86,22.725,94,12.998,19,19.93058,0.93058
1,4,1,0,2,18.86,22.725,94,12.998,13,13.211304,0.211304
1,4,1,1,1,11.48,12.88,45,22.0028,19,51.512238,32.512238
1,5,1,1,1,11.48,12.88,45,22.0028,17,47.3431,30.3431
1,6,1,1,1,10.66,11.365,41,26.0027,48,42.360363,-5.639637
1,6,1,0,3,17.22,21.21,77,19.9995,28,57.495667,29.495667
1,7,1,1,1,9.84,10.605,32,26.0027,51,77.632164,26.632164
1,8,1,1,1,9.84,11.365,35,16.9979,88,145.76997,57.76997
1,9,1,1,1,9.84,12.88,35,0,105,177.35481,72.35481
1,10,1,1,1,10.66,12.12,35,19.0012,146,176.63432,30.63432
1,11,1,0,2,14.76,16.665,71,16.9979,100,157.40834,57.40834
1,11,1,1,1,10.66,10.605,35,32.9975,209,209.05942,0.05942
1,12,1,0,2,14.76,16.665,66,19.9995,117,132.6821,15.6821
1,12,1,1,1,11.48,13.635,36,16.9979,232,265.1914,33.1914
1,13,1,0,2,14.76,17.425,66,8.9981,130,143.08144,13.08144
1,13,1,1,1,12.3,13.635,36,19.9995,236,283.5721,47.5721
1,14,1,0,3,14.76,17.425,76,12.998,115,110.03159,-4.96841
1,14,1,1,1,12.3,13.635,36,27.9993,211,295.55072,84.55072
1,15,1,0,3,13.94,16.665,81,11.0014,130,120.70849,-9.29151
1,15,1,1,1,11.48,12.12,38,30.0026,226,252.76744,26.76744
1,16,1,0,3,13.94,16.665,71,11.0014,130,148.37389,18.37389
1,16,1,1,1,10.66,11.365,35,27.9993,213,219.41591,6.41591
1,17,1,1,1,10.66,11.365,35,26.0027,213,198.38387,-14.61613
1,18,1,1,1,10.66,12.12,33,16.9979,188,183.705,-4.295
1,19,1,1,1,9.84,11.365,38,15.0013,155,159.31203,4.31203
1,20,1,1,1,9.84,11.365,41,15.0013,150,141.31427,-8.68573
1,20,1,0,1,12.3,13.635,39,23.9994,76,175.27055,99.27055
1,21,1,1,2,9.84,10.605,41,22.0028,128,115.651985,-12.348015
1,21,1,0,1,10.66,11.365,44,22.0028,86,130.51082,44.51082
1,22,1,1,2,9.02,10.605,44,19.0012,103,96.84791,-6.15209
1,22,1,0,1,9.84,10.605,44,19.9995,65,110.89454,45.89454
1,23,1,0,1,9.02,11.365,47,11.0014,63,93.83161,30.83161
1,23,1,1,1,9.02,10.605,44,16.9979,98,106.293465,8.293465
2,0,1,0,1,9.02,9.85,44,23.9994,19,4.2953496,-14.7046504
2,0,1,0,1,8.2,9.85,51,16.9979,28,9.879356,-18.120644
2,1,1,0,1,7.38,9.09,55,15.0013,19,2.6349645,-16.3650355
2,6,1,0,1,5.74,5.305,50,26.0027,51,30.298866,-20.701134
2,6,1,0,1,5.74,6.06,59,19.0012,105,39.281746,-65.718254
2,7,1,0,1,5.74,6.06,59,16.9979,188,114.0552,-73.9448
2,7,1,0,1,5.74,6.82,50,12.998,86,128.46036,42.46036
2,8,1,0,1,5.74,6.06,50,19.0012,175,149.63353,-25.36647
2,9,1,0,1,6.56,6.82,43,26.0027,111,122.49366,11.49366
2,9,1,0,1,6.56,6.82,50,19.0012,175,127.42666,-47.57334
2,10,1,0,1,6.56,6.06,47,31.0009,86,82.19962,-3.80038
2,10,1,0,1,7.38,8.335,43,16.9979,73,120.29459,47.29459
2,11,1,0,1,7.38,6.82,37,35.0008,101,93.70396,-7.29604
2,11,1,0,1,8.2,9.09,40,22.0028,80,111.34252,31.34252
2,12,1,0,1,7.38,6.82,37,35.0008,98,75.9912,-22.0088
2,12,1,0,1,9.02,10.605,35,19.9995,86,118.948296,32.948296
2,13,1,0,1,7.38,6.06,34,43.9989,125,58.583046,-66.416954
2,13,1,0,1,9.84,10.605,35,19.0012,115,118.59475,3.59475
2,14,1,0,1,6.56,6.06,43,35.0008,130,65.34359,-64.65641
2,14,1,0,1,10.66,12.12,30,19.0012,130,157.50381,27.50381
2,15,1,0,1,6.56,6.06,37,27.9993,128,103.834145,-24.165855
2,15,1,0,1,10.66,12.12,30,16.9979,126,179.10463,53.10463
2,16,1,0,1,5.74,4.545,39,39.0007,184,120.08526,-63.91474
2,16,1,0,1,10.66,12.12,30,16.9979,130,201.1852,71.1852
2,17,1,0,1,9.84,11.365,30,15.0013,207,208.12517,1.12517
2,18,1,0,1,9.84,12.88,32,7.0015,207,220.0845,13.0845
2,19,1,0,1,4.92,4.545,28,27.9993,205,134.09761,-70.90239
2,19,1,0,1,8.2,12.88,47,0,163,169.00957,6.00957
2,20,1,0,1,4.92,6.06,33,16.9979,167,121.08988,-45.91012
2,20,1,0,1,8.2,11.365,47,7.0015,105,137.61787,32.61787
2,21,1,0,1,4.1,5.305,36,15.0013,121,99.47895,-21.52105
2,21,1,0,1,7.38,9.85,64,8.9981,105,107.42573,2.42573
2,22,1,0,1,4.1,5.305,46,16.9979,86,76.80479,-9.19521
2,22,1,0,1,5.74,7.575,69,8.9981,75,96.56788,21.56788
2,23,1,0,1,4.1,3.79,46,26.0027,71,61.234077,-9.765923
2,23,1,0,1,7.38,10.605,55,7.0015,67,89.90528,22.90528
3,0,1,0,1,6.56,9.09,55,7.0015,21,17.30632,-3.69368
3,1,1,0,1,6.56,9.09,59,7.0015,15,10.243774,-4.756226
3,6,1,0,1,0.82,2.275,41,11.0014,80,22.182167,-57.817833
3,6,1,0,1,4.92,7.575,74,7.0015,59,57.53888,-1.46112
3,7,1,0,1,0.82,2.275,44,12.998,171,73.151405,-97.848595
3,7,1,0,1,4.92,7.575,74,8.9981,117,121.67611,4.67611
3,8,1,0,1,5.74,7.575,69,11.0014,200,174.25407,-25.74593
3,9,1,0,1,1.64,3.03,45,8.9981,200,100.81423,-99.18577
3,9,1,0,1,6.56,7.575,64,15.0013,125,143.59395,18.59395
3,10,1,0,2,6.56,6.82,69,22.0028,71,81.68557,10.68557
3,10,1,0,1,2.46,5.305,45,0,92,106.92426,14.92426
3,11,1,0,2,3.28,6.06,42,6.0032,75,64.59475,-10.40525
3,11,1,0,1,9.02,10.605,51,19.9995,86,105.87693,19.87693
3,12,1,0,2,4.1,5.305,46,12.998,107,44.07467,-62.92533
3,12,1,0,1,9.02,11.365,51,11.0014,101,109.646324,8.646324
3,13,1,0,2,5.74,6.06,43,16.9979,142,46.877327,-95.122673
3,13,1,0,1,9.84,11.365,56,12.998,150,111.67098,-38.32902
3,14,1,0,2,5.74,6.06,46,16.9979,126,55.61251,-70.38749
3,14,1,0,1,10.66,12.88,52,15.0013,117,144.19345,27.19345
3,15,1,0,2,7.38,7.575,37,22.0028,142,101.905815,-40.094185
3,15,1,0,1,11.48,13.635,52,16.9979,119,169.09882,50.09882
3,16,1,0,2,7.38,8.335,40,19.0012,182,131.16267,-50.83733
3,16,1,0,1,12.3,14.395,49,16.9979,136,200.15921,64.15921
3,17,1,0,1,11.48,13.635,48,15.0013,259,216.29173,-42.70827
3,18,1,0,1,10.66,12.88,48,12.998,230,206.74767,-23.25233
3,19,1,0,2,8.2,11.365,40,7.0015,234,160.91423,-73.08577
3,19,1,0,1,9.84,12.88,48,7.0015,165,168.93684,3.93684
3,20,1,0,2,8.2,9.85,40,12.998,175,141.25441,-33.74559
3,20,1,0,1,9.84,12.88,48,7.0015,109,146.47496,37.47496
3,21,1,0,1,9.02,13.635,64,0,103,130.43373,27.43373
3,21,1,0,2,8.2,12.88,44,0,144,131.9734,-12.0266
3,22,1,0,1,9.02,12.88,64,6.0032,90,108.93955,18.93955
3,22,1,0,2,8.2,11.365,47,6.0032,105,110.310585,5.310585
3,23,1,0,2,8.2,11.365,44,7.0015,86,96.60401,10.60401
3,23,1,0,1,8.2,11.365,69,6.0032,67,100.51447,33.51447
4,0,1,0,2,9.02,11.365,47,12.998,28,7.8043065,-20.1956935
4,0,1,0,1,8.2,12.88,64,0,23,31.850746,8.850746
4,1,1,0,1,6.56,9.85,74,6.0032,21,9.739319,-11.260681
4,1,1,0,1,8.2,11.365,51,6.0032,19,18.977348,-0.022652
4,2,1,0,1,6.56,9.85,74,6.0032,13,3.3118672,-9.6881328
4,2,1,0,1,8.2,11.365,51,6.0032,15,12.549904,-2.450096
4,3,1,0,1,8.2,12.88,61,0,13,13.044792,0.044792
4,5,1,0,1,9.02,11.365,47,11.0014,7,7.0635,0.0635
4,6,1,0,2,8.2,10.605,75,8.9981,100,45.11505,-54.88495
4,6,1,0,1,8.2,9.85,47,15.0013,55,54.42807,-0.57193
4,7,1,0,1,7.38,9.09,43,12.998,109,135.40746,26.40746
4,8,1,0,1,8.2,9.09,40,19.9995,215,178.09729,-36.90271
4,9,1,0,1,9.02,9.85,37,22.0028,138,166.37909,28.37909
4,9,1,0,2,9.02,13.635,69,0,248,190.6645,-57.3355
4,10,1,0,1,9.02,9.85,37,22.0028,84,147.19926,63.19926
4,10,1,0,2,9.84,12.88,52,6.0032,113,149.23701,36.23701
4,11,1,0,1,10.66,11.365,33,22.0028,76,158.558,82.558
4,11,1,0,1,12.3,16.665,49,0,113,187.79356,74.79356
4,12,1,0,1,12.3,14.395,49,16.9979,142,137.25186,-4.74814
4,12,1,0,1,10.66,11.365,33,22.0028,103,140.8452,37.8452
4,13,1,0,1,11.48,12.88,30,19.9995,125,155.89165,30.89165
4,13,1,0,1,13.94,15.15,42,19.9995,171,157.81711,-13.18289
4,14,1,0,1,13.94,15.91,39,19.0012,169,183.86276,14.86276
4,14,1,0,1,12.3,14.395,28,12.998,117,195.42787,78.42787
4,15,1,0,1,12.3,14.395,28,12.998,117,210.21202,93.21202
4,15,1,0,1,14.76,16.665,34,19.0012,171,217.7019,46.7019
4,16,1,0,1,14.76,16.665,34,19.0012,246,240.35738,-5.64262
4,17,1,0,1,9.84,11.365,38,12.998,240,202.47964,-37.52036
4,18,1,0,1,9.84,12.12,38,8.9981,219,210.78127,-8.21873
4,19,1,0,1,9.84,12.88,38,7.0015,184,172.08366,-11.91634
4,19,1,0,1,13.94,17.425,34,6.0032,313,243.59921,-69.40079
4,20,1,0,1,9.02,11.365,47,11.0014,142,139.85127,-2.14873
4,20,1,0,1,12.3,16.665,49,0,226,185.38672,-40.61328
4,21,1,0,1,8.2,9.85,51,12.998,98,115.14854,17.14854
4,21,1,0,1,10.66,13.635,60,8.9981,150,128.79604,-21.20396
4,22,1,0,1,7.38,9.85,55,8.9981,96,94.69514,-1.30486
4,22,1,0,1,10.66,12.88,60,11.0014,125,111.059944,-13.940056
4,23,1,0,1,8.2,12.88,47,0,75,102.84556,27.84556
4,23,1,0,1,9.84,12.88,70,7.0015,115,103.49595,-11.50405
5,0,1,0,1,9.02,12.88,75,6.0032,42,24.95671,-17.04329
5,0,1,0,1,7.38,12.12,55,0,26,30.728561,4.728561
5,1,1,0,1,6.56,11.365,64,0,17,20.080185,3.080185
5,1,1,0,1,9.02,13.635,75,0,23,26.710503,3.710503
5,2,1,0,1,9.02,11.365,69,11.0014,17,5.859093,-11.140907
5,2,1,0,1,6.56,11.365,64,0,13,13.652748,0.652748
5,3,1,0,1,9.02,12.12,69,7.0015,13,4.991837,-8.008163
5,6,1,0,2,5.74,8.335,63,7.0015,59,35.61476,-23.38524
5,6,1,0,2,9.02,12.12,73,7.0015,92,51.302895,-40.697105
5,7,1,0,2,6.56,11.365,59,0,117,131.82939,14.82939
5,7,1,0,2,9.84,14.395,65,0,225,146.35445,-78.64555
5,8,1,0,1,6.56,11.365,59,0,238,208.5599,-29.4401
5,9,1,0,2,7.38,12.12,51,0,146,164.97836,18.97836
5,9,1,0,1,9.84,12.12,70,11.0014,261,195.3902,-65.6098
