days,hour,season,holiday,weather,temp,atemp,humidity,windspeed,real,pred,diff
0,0,1,0,1,14.76,18.94,66,0,65,52.905334,-12.094666
0,11,1,0,1,13.94,16.665,76,8.9981,167,196.00941,29.00941
0,13,1,0,2,18.86,22.725,72,19.9995,150,177.4294,27.4294
0,15,1,0,2,18.04,21.97,77,19.9995,165,193.62895,28.62895
1,0,1,1,1,16.4,20.455,40,31.0009,63,74.047806,11.047806
1,7,1,1,1,9.84,10.605,32,26.0027,51,77.632164,26.632164
1,11,1,1,1,10.66,10.605,35,32.9975,209,209.05942,0.05942
1,12,1,0,2,14.76,16.665,66,19.9995,117,132.6821,15.6821
1,13,1,0,2,14.76,17.425,66,8.9981,130,143.08144,13.08144
1,14,1,0,3,14.76,17.425,76,12.998,115,110.03159,-4.96841
1,15,1,0,3,13.94,16.665,81,11.0014,130,120.70849,-9.29151
1,15,1,1,1,11.48,12.12,38,30.0026,226,252.76744,26.76744
1,16,1,1,1,10.66,11.365,35,27.9993,213,219.41591,6.41591
1,16,1,0,3,13.94,16.665,71,11.0014,130,148.37389,18.37389
1,17,1,1,1,10.66,11.365,35,26.0027,213,198.38387,-14.61613
1,18,1,1,1,10.66,12.12,33,16.9979,188,183.705,-4.295
1,19,1,1,1,9.84,11.365,38,15.0013,155,159.31203,4.31203
1,20,1,1,1,9.84,11.365,41,15.0013,150,141.31427,-8.68573
1,21,1,1,2,9.84,10.605,41,22.0028,128,115.651985,-12.348015
1,22,1,1,2,9.02,10.605,44,19.0012,103,96.84791,-6.15209
1,23,1,1,1,9.02,10.605,44,16.9979,98,106.293465,8.293465
2,8,1,0,1,5.74,6.06,50,19.0012,175,149.63353,-25.36647
2,9,1,0,1,6.56,6.82,43,26.0027,111,122.49366,11.49366
2,10,1,0,1,6.56,6.06,47,31.0009,86,82.19962,-3.80038
2,11,1,0,1,7.38,6.82,37,35.0008,101,93.70396,-7.29604
2,12,1,0,1,7.38,6.82,37,35.0008,98,75.9912,-22.0088
2,13,1,0,1,9.84,10.605,35,19.0012,115,118.59475,3.59475
2,14,1,0,1,10.66,12.12,30,19.0012,130,157.50381,27.50381
2,15,1,0,1,6.56,6.06,37,27.9993,128,103.834145,-24.165855
2,17,1,0,1,9.84,11.365,30,15.0013,207,208.12517,1.12517
2,18,1,0,1,9.84,12.88,32,7.0015,207,220.0845,13.0845
2,19,1,0,1,8.2,12.88,47,0,163,169.00957,6.00957
2,21,1,0,1,4.1,5.305,36,15.0013,121,99.47895,-21.52105
2,21,1,0,1,7.38,9.85,64,8.9981,105,107.42573,2.42573
2,22,1,0,1,4.1,5.305,46,16.9979,86,76.80479,-9.19521
2,22,1,0,1,5.74,7.575,69,8.9981,75,96.56788,21.56788
2,23,1,0,1,4.1,3.79,46,26.0027,71,61.234077,-9.765923
2,23,1,0,1,7.38,10.605,55,7.0015,67,89.90528,22.90528
3,6,1,0,1,4.92,7.575,74,7.0015,59,57.53888,-1.46112
3,7,1,0,1,4.92,7.575,74,8.9981,117,121.67611,4.67611
3,8,1,0,1,5.74,7.575,69,11.0014,200,174.25407,-25.74593
3,9,1,0,1,6.56,7.575,64,15.0013,125,143.59395,18.59395
3,10,1,0,2,6.56,6.82,69,22.0028,71,81.68557,10.68557
3,10,1,0,1,2.46,5.305,45,0,92,106.92426,14.92426
3,11,1,0,2,3.28,6.06,42,6.0032,75,64.59475,-10.40525
3,11,1,0,1,9.02,10.605,51,19.9995,86,105.87693,19.87693
3,12,1,0,1,9.02,11.365,51,11.0014,101,109.646324,8.646324
3,14,1,0,1,10.66,12.88,52,15.0013,117,144.19345,27.19345
3,18,1,0,1,10.66,12.88,48,12.998,230,206.74767,-23.25233
3,19,1,0,1,9.84,12.88,48,7.0015,165,168.93684,3.93684
3,21,1,0,2,8.2,12.88,44,0,144,131.9734,-12.0266
3,21,1,0,1,9.02,13.635,64,0,103,130.43373,27.43373
3,22,1,0,2,8.2,11.365,47,6.0032,105,110.310585,5.310585
3,22,1,0,1,9.02,12.88,64,6.0032,90,108.93955,18.93955
3,23,1,0,2,8.2,11.365,44,7.0015,86,96.60401,10.60401
4,6,1,0,1,8.2,9.85,47,15.0013,55,54.42807,-0.57193
4,7,1,0,1,7.38,9.09,43,12.998,109,135.40746,26.40746
4,9,1,0,1,9.02,9.85,37,22.0028,138,166.37909,28.37909
4,12,1,0,1,12.3,14.395,49,16.9979,142,137.25186,-4.74814
4,13,1,0,1,13.94,15.15,42,19.9995,171,157.81711,-13.18289
4,14,1,0,1,13.94,15.91,39,19.0012,169,183.86276,14.86276
4,16,1,0,1,14.76,16.665,34,19.0012,246,240.35738,-5.64262
4,18,1,0,1,9.84,12.12,38,8.9981,219,210.78127,-8.21873
4,19,1,0,1,9.84,12.88,38,7.0015,184,172.08366,-11.91634
4,20,1,0,1,9.02,11.365,47,11.0014,142,139.85127,-2.14873
4,21,1,0,1,10.66,13.635,60,8.9981,150,128.79604,-21.20396
4,21,1,0,1,8.2,9.85,51,12.998,98,115.14854,17.14854
4,22,1,0,1,10.66,12.88,60,11.0014,125,111.059944,-13.940056
4,22,1,0,1,7.38,9.85,55,8.9981,96,94.69514,-1.30486
4,23,1,0,1,9.84,12.88,70,7.0015,115,103.49595,-11.50405
4,23,1,0,1,8.2,12.88,47,0,75,102.84556,27.84556
5,7,1,0,2,6.56,11.365,59,0,117,131.82939,14.82939
5,8,1,0,1,6.56,11.365,59,0,238,208.5599,-29.4401
5,9,1,0,2,7.38,12.12,51,0,146,164.97836,18.97836
5,10,1,0,1,10.66,12.88,65,12.998,142,170.67967,28.67967
5,11,1,0,1,12.3,15.15,56,11.0014,165,162.86171,-2.13829
5,18,1,0,1,9.02,11.365,51,8.9981,213,184.73611,-28.26389
5,19,1,0,1,9.02,12.88,55,6.0032,165,162.83134,-2.16866
5,20,1,0,1,8.2,10.605,51,11.0014,123,132.31111,9.31111
5,20,1,0,1,17.22,21.21,41,12.998,228,245.71295,17.71295
5,21,1,0,1,16.4,20.455,43,15.0013,205,184.87193,-20.12807
5,21,1,0,2,9.02,10.605,55,15.0013,101,119.89524,18.89524
5,22,1,0,2,9.02,10.605,51,19.0012,105,105.96296,0.96296
5,23,1,0,1,14.76,18.94,50,0,155,134.07188,-20.92812
5,23,1,0,2,8.2,9.85,59,12.998,78,85.091194,7.091194
6,6,1,0,2,8.2,12.88,69,0,59,58.070282,-0.929718
6,9,1,0,1,8.2,9.09,47,19.9995,157,152.5129,-4.4871
6,10,1,0,1,11.48,15.15,75,6.0032,226,206.13199,-19.86801
6,11,1,0,2,8.2,9.85,40,15.0013,96,103.9768,7.9768
6,12,1,0,2,8.2,9.85,37,16.9979,84,91.99465,7.99465
6,14,1,0,2,8.2,9.85,40,16.9979,103,97.43911,-5.56089
6,15,1,0,2,8.2,10.605,37,11.0014,125,133.71129,8.71129
6,16,1,0,2,8.2,10.605,37,11.0014,140,155.7689,15.7689
6,18,1,0,1,8.2,11.365,40,6.0032,175,186.65472,11.65472
6,19,1,0,1,6.56,9.85,55,6.0032,148,138.20454,-9.79546
6,20,1,0,1,7.38,10.605,47,7.0015,105,132.5334,27.5334
6,21,1,0,1,18.04,21.97,44,15.0013,192,210.88673,18.88673
6,21,1,0,1,7.38,9.85,47,8.9981,94,115.30021,21.30021
6,22,1,0,2,7.38,9.85,43,11.0014,90,105.24946,15.24946
6,22,1,0,1,18.04,21.97,38,16.9979,163,179.66753,16.66753
6,23,1,0,1,17.22,21.21,38,15.0013,173,149.96022,-23.03978
6,23,1,0,2,7.38,9.85,51,11.0014,71,84.50297,13.50297
7,10,1,0,1,13.94,16.665,49,11.0014,230,201.66759,-28.33241
7,11,1,0,2,8.2,9.09,69,26.0027,90,68.78571,-21.21429
7,15,1,0,1,8.2,8.335,32,30.0026,126,129.0071,3.0071
7,16,1,0,1,7.38,6.82,29,30.0026,128,152.47769,24.47769
7,17,1,0,1,15.58,19.695,40,15.0013,269,286.67572,17.67572
7,17,1,0,1,6.56,6.06,37,36.9974,121,146.70041,25.70041
7,18,1,0,1,13.94,15.91,46,15.0013,230,256.79358,26.79358
7,20,1,0,1,12.3,15.15,52,11.0014,178,159.55754,-18.44246
7,21,1,0,1,11.48,13.635,56,15.0013,144,131.85231,-12.14769
7,21,1,0,1,4.92,5.305,39,23.9994,90,98.01261,8.01261
7,22,1,0,1,4.92,5.305,36,26.0027,88,84.00727,-3.99273
7,22,1,0,1,10.66,13.635,60,7.0015,113,113.64243,0.64243
7,23,1,0,1,4.1,3.03,39,30.0026,75,72.6717,-2.3283
7,23,1,0,1,10.66,12.12,56,16.9979,84,93.97874,9.97874
8,10,1,0,1,5.74,5.305,43,26.0027,76,92.39802,16.39802
